instruction,input,output
What are the major insights presented in the paper 'From Correspondences to Pose: Non-minimal Certifiably Optimal Relative Pose without Disambiguation'?,,The publication date is 2023-12-10 and you can find the paper here https://arxiv.org/abs/2312.05995
What is the publication date and link for the paper 'Diffusion-based Blind Text Image Super-Resolution'?,,The publication date is 2023-12-13 and you can find the paper here https://arxiv.org/abs/2312.08886
What is the publication date and link for the paper 'Language-driven Grasp Detection'?,,The publication date is 2023-09-18 and you can find the paper here https://ar5iv.labs.arxiv.org/html/2309.09818
What is the main contribution of the research paper titled 'Eyes Wide Shut? Exploring the Visual Shortcomings of Multimodal LLMs'?,,The publication date is 2024-01-11 and you can find the paper here http://export.arxiv.org/abs/2401.06209
Can you summarize the key findings of the study 'Alpha Invariance: On Inverse Scaling Between Distance and Volume Density in Neural Radiance Fields'?,"Publication Date: 2024-04-02, ArXiv Link: https://arxiv.org/abs/2404.02155","In the paper 'Alpha Invariance: On Inverse Scaling Between Distance and Volume Density in Neural Radiance Fields', Scale-ambiguity in 3D scene dimensions leads to magnitude-ambiguity of volumetric densities in neural radiance fields, i.e., the densities double when scene size is halved, and vice versa. We call this property alpha invariance. For NeRFs to better maintain alpha invariance, we recommend 1 parameterizing both distance and volume densities in log space, and 2 a discretization-agnostic initialization strategy to guarantee high ray transmittance. We revisit a few popular radiance field models and find that these systems use various heuristics to deal with issues arising from scene scaling. We test their behaviors and show our recipe to be more robust."
What is the publication date and link for the paper 'Prompt-Driven Referring Image Segmentation with Instance Contrasting'?,,The publication date is 2023-10-30 and you can find the paper here https://arxiv.org/abs/2310.19721
What is the publication date and link for the paper 'DreamVideo: Composing Your Dream Videos with Customized Subject and Motion'?,,The publication date is 2023-12-07 and you can find the paper here https://arxiv.org/abs/2312.04433
What is the publication date and link for the paper 'Multi-Attribute Interactions Matter for 3D Visual Grounding'?,,The publication date is 2024-04-30 and you can find the paper here https://arxiv.org/abs/2404.19696
Can you summarize the key findings of the study 'Intraoperative 2D/3D Image Registration via Differentiable X-ray Rendering'?,"Publication Date: 2023-12-11, ArXiv Link: https://arxiv.org/abs/2312.06358","In the paper 'Intraoperative 2D/3D Image Registration via Differentiable X-ray Rendering', Surgical decisions are informed by aligning rapid portable 2D intraoperative images e.g., X-rays to a high-fidelity 3D preoperative reference scan e.g., CT. 2D3D image registration often fails in practice conventional optimization methods are prohibitively slow and susceptible to local minima, while neural networks trained on small datasets fail on new patients or require impractical landmark supervision. We present DiffPose, a self-supervised approach that leverages patient-specific simulation and differentiable physics-based rendering to achieve accurate 2D3D registration without relying on manually labeled data. Preoperatively, a CNN is trained to regress the pose of a randomly oriented synthetic X-ray rendered from the preoperative CT. The CNN then initializes rapid intraoperative test-time optimization that uses the differentiable X-ray renderer to refine the solution. Our work further proposes several geometrically principled methods for sampling camera poses from mathbfSE3, for sparse differentiable rendering, and for driving registration in the tangent space mathfrakse3 with geodesic and multiscale locality-sensitive losses. DiffPose achieves sub-millimeter accuracy across surgical datasets at intraoperative speeds, improving upon existing unsupervised methods by an order of magnitude and even outperforming supervised baselines. Our code is available at httpsgithub.comeigenvivekDiffPose."
What are the major insights presented in the paper 'MedM2G: Unifying Medical Multi-Modal Generation via Cross-Guided Diffusion with Visual Invariant'?,,The publication date is 2024-03-07 and you can find the paper here https://arxiv.org/abs/2403.04290
Could you explain the significance of 'SeD: Semantic-Aware Discriminator for Image Super-Resolution' in simple terms?,,The publication date is 2024-02-29 and you can find the paper here https://arxiv.org/abs/2402.19387
What is the publication date and link for the paper 'Taming Self-Training for Open-Vocabulary Object Detection'?,,The publication date is 2023-08-11 and you can find the paper here https://arxiv.org/abs/2308.06412
What is the main contribution of the research paper titled 'Edit One for All: Interactive Batch Image Editing'?,,The publication date is 2024-01-18 and you can find the paper here https://arxiv.org/abs/2401.10219
Can you summarize the key findings of the study 'Carve3D: Improving Multi-view Reconstruction Consistency for Diffusion Models with RL Finetuning'?,"Publication Date: 2023-12-21, ArXiv Link: https://arxiv.org/abs/2312.13980v1","In the paper 'Carve3D: Improving Multi-view Reconstruction Consistency for Diffusion Models with RL Finetuning', Recent advancements in the text-to-3D task leverage finetuned text-to-image diffusion models to generate multi-view images, followed by NeRF reconstruction. Yet, existing supervised finetuned SFT diffusion models still suffer from multi-view inconsistency and the resulting NeRF artifacts. Although training longer with SFT improves consistency, it also causes distribution shift, which reduces diversity and realistic details. We argue that the SFT of multi-view diffusion models resembles the instruction finetuning stage of the LLM alignment pipeline and can benefit from RL finetuning RLFT methods. Essentially, RLFT methods optimize models beyond their SFT data distribution by using their own outputs, effectively mitigating distribution shift. To this end, we introduce Carve3D, a RLFT method coupled with the Multi-view Reconstruction Consistency MRC metric, to improve the consistency of multi-view diffusion models. To compute MRC on a set of multi-view images, we compare them with their corresponding renderings of the reconstructed NeRF at the same viewpoints. We validate the robustness of MRC with extensive experiments conducted under controlled inconsistency levels. We enhance the base RLFT algorithm to stabilize the training process, reduce distribution shift, and identify scaling laws. Through qualitative and quantitative experiments, along with a user study, we demonstrate Carve3Ds improved multi-view consistency, the resulting superior NeRF reconstruction quality, and minimal distribution shift compared to longer SFT. Project webpage httpsdesaixie.github.iocarve-3d."
What is the publication date and link for the paper 'Density-Guided Semi-Supervised 3D Semantic Segmentation with Dual-Space Hardness Sampling'?,,The publication date is 2023-06-13 and you can find the paper here https://arxiv.org/abs/2306.08045
What is the publication date and link for the paper 'S-DyRF: Reference-Based Stylized Radiance Fields for Dynamic Scenes'?,,The publication date is 2024-03-10 and you can find the paper here https://arxiv.org/abs/2403.06205
What is the main contribution of the research paper titled 'Compressed 3D Gaussian Splatting for Accelerated Novel View Synthesis'?,,The publication date is 2023-11-17 and you can find the paper here https://arxiv.org/abs/2401.02436
What is the publication date and link for the paper 'ChAda-ViT : Channel Adaptive Attention for Joint Representation Learning of Heterogeneous Microscopy Images'?,,The publication date is 2023-11-26 and you can find the paper here https://arxiv.org/abs/2311.15264
What is the publication date and link for the paper 'Generating Enhanced Negatives for Training Language-Based Object Detectors'?,,The publication date is 2023-12-29 and you can find the paper here https://arxiv.org/abs/2401.00094
What is the publication date and link for the paper 'Named Entity Driven Zero-Shot Image Manipulation'?,,The publication date is 2023-07-25 and you can find the paper here https://arxiv.org/abs/2307.13497
What is the publication date and link for the paper 'Learned Scanpaths Aid Blind Panoramic Video Quality Assessment'?,,The publication date is 2024-03-30 and you can find the paper here https://arxiv.org/abs/2404.00252
What is the publication date and link for the paper 'Molecular Data Programming: Towards Molecule Pseudo-labeling with Systematic Weak Supervision'?,,The publication date is 2023-09-11 and you can find the paper here https://arxiv.org/abs/2309.05203
What are the major insights presented in the paper 'ManipLLM: Embodied Multimodal Large Language Model for Object-Centric Robotic Manipulation'?,,The publication date is 2023-12-24 and you can find the paper here https://arxiv.org/abs/2312.16217
Can you summarize the key findings of the study 'Consistent Prompting for Rehearsal-Free Continual Learning'?,"Publication Date: 2024-03-13, ArXiv Link: https://arxiv.org/abs/2403.08568","In the paper 'Consistent Prompting for Rehearsal-Free Continual Learning', Continual learning empowers models to adapt autonomously to the ever-changing environment or data streams without forgetting old knowledge. Prompt-based approaches are built on frozen pre-trained models to learn the task-specific prompts and classifiers efficiently. Existing prompt-based methods are inconsistent between training and testing, limiting their effectiveness. Two types of inconsistency are revealed. Test predictions are made from all classifiers while training only focuses on the current task classifier without holistic alignment, leading to Classifier inconsistency. Prompt inconsistency indicates that the prompt selected during testing may not correspond to the one associated with this task during training. In this paper, we propose a novel prompt-based method, Consistent Prompting CPrompt, for more aligned training and testing. Specifically, all existing classifiers are exposed to prompt training, resulting in classifier consistency learning. In addition, prompt consistency learning is proposed to enhance prediction robustness and boost prompt selection accuracy. Our Consistent Prompting surpasses its prompt-based counterparts and achieves state-of-the-art performance on multiple continual learning benchmarks. Detailed analysis shows that improvements come from more consistent training and testing."
Could you explain the significance of 'Pixel-level Semantic Correspondence through Layout-aware Representation Learning and Multi-scale Matching Integration' in simple terms?,,The publication date is 2024-01-22 and you can find the paper here https://ar5iv.labs.arxiv.org/html/2401.11739
What are the major insights presented in the paper '360Loc: A Dataset and Benchmark for Omnidirectional Visual Localization with Cross-device Queries'?,,The publication date is 2023-11-29 and you can find the paper here https://arxiv.org/abs/2311.17389
Can you summarize the key findings of the study 'Layout-Agnostic Scene Text Image Synthesis with Diffusion Models'?,"Publication Date: 2023-12-08, ArXiv Link: https://arxiv.org/abs/2312.04884","In the paper 'Layout-Agnostic Scene Text Image Synthesis with Diffusion Models', Text-to-Image T2I generation methods based on diffusion model have garnered significant attention in the last few years. Although these image synthesis methods produce visually appealing results, they frequently exhibit spelling errors when rendering text within the generated images. Such errors manifest as missing, incorrect or extraneous characters, thereby severely constraining the performance of text image generation based on diffusion models. To address the aforementioned issue, this paper proposes a novel approach for text image generation, utilizing a pre-trained diffusion model i.e., Stable Diffusion 27. Our approach involves the design and training of a light-weight character-level text encoder, which replaces the original CLIP encoder and provides more robust text embeddings as conditional guidance. Then, we fine-tune the diffusion model using a large-scale dataset, incorporating local attention control under the supervision of character-level segmentation maps. Finally, by employing an inference stage refinement process, we achieve a notably high sequence accuracy when synthesizing text in arbitrarily given images. Both qualitative and quantitative results demonstrate the superiority of our method to the state of the art. Furthermore, we showcase several potential applications of the proposed UDiffText, including text-centric image synthesis, scene text editing, etc. Code and model will be available at httpsgithub.comZYM-PKUUDiffText ."
How does 'Amodal Completion via Progressive Mixed Context Diffusion' impact the current field of study?,"Publication Date: 2023-12-24, ArXiv Link: https://arxiv.org/abs/2312.15540","In the paper 'Amodal Completion via Progressive Mixed Context Diffusion', Our brain can effortlessly recognize objects even when partially hidden from view. Seeing the visible of the hidden is called amodal completion however, this task remains a challenge for generative AI despite rapid progress. We propose to sidestep many of the difficulties of existing approaches, which typically involve a two-step process of predicting amodal masks and then generating pixels. Our method involves thinking outside the box, literally We go outside the object bounding box to use its context to guide a pre-trained diffusion inpainting model, and then progressively grow the occluded object and trim the extra background. We overcome two technical challenges 1 how to be free of unwanted co-occurrence bias, which tends to regenerate similar occluders, and 2 how to judge if an amodal completion has succeeded. Our amodal completion method exhibits improved photorealistic completion results compared to existing approaches in numerous successful completion cases. And the best part It doesnt require any special training or fine-tuning of models."
What is the publication date and link for the paper 'Make Pixels Dance: High-Dynamic Video Generation'?,,The publication date is 2023-11-18 and you can find the paper here https://arxiv.org/abs/2311.10982
Could you explain the significance of 'MultiPLY: A Multisensory Object-Centric Embodied Large Language Model in 3D World' in simple terms?,,The publication date is 2024-01-16 and you can find the paper here https://arxiv.org/abs/2401.08577
What is the publication date and link for the paper 'Referring Expression Counting'?,,The publication date is 2024-05-24 and you can find the paper here https://arxiv.org/abs/2405.15658
Could you explain the significance of 'SonicVisionLM: Playing Sound with Vision Language Models' in simple terms?,,The publication date is 2024-01-09 and you can find the paper here https://arxiv.org/abs/2401.04394
Can you summarize the key findings of the study 'A Dual-Augmentor Framework for Domain Generalization in 3D Human Pose Estimation'?,"Publication Date: 2024-03-17, ArXiv Link: https://arxiv.org/abs/2403.11310","In the paper 'A Dual-Augmentor Framework for Domain Generalization in 3D Human Pose Estimation', 3D human pose data collected in controlled laboratory settings present challenges for pose estimators that generalize across diverse scenarios. To address this, domain generalization is employed. Current methodologies in domain generalization for 3D human pose estimation typically utilize adversarial training to generate synthetic poses for training. Nonetheless, these approaches exhibit several limitations. First, the lack of prior information about the target domain complicates the application of suitable augmentation through a single pose augmentor, affecting generalization on target domains. Moreover, adversarial trainings discriminator tends to enforce similarity between source and synthesized poses, impeding the exploration of out-of-source distributions. Furthermore, the pose estimators optimization is not exposed to domain shifts, limiting its overall generalization ability. To address these limitations, we propose a novel framework featuring two pose augmentors the weak and the strong augmentors. Our framework employs differential strategies for generation and discrimination processes, facilitating the preservation of knowledge related to source poses and the exploration of out-of-source distributions without prior information about target poses. Besides, we leverage meta-optimization to simulate domain shifts in the optimization process of the pose estimator, thereby improving its generalization ability. Our proposed approach significantly outperforms existing methods, as demonstrated through comprehensive experiments on various benchmark datasets.Our code will be released at urlhttpsgithub.comdavidpengucfDAF-DG."
What is the main contribution of the research paper titled 'ProMotion: Prototypes As Motion Learners'?,,The publication date is 2023-04-23 and you can find the paper here https://ar5iv.labs.arxiv.org/html/2304.11523
How does 'Event-assisted Low-Light Video Object Segmentation' impact the current field of study?,"Publication Date: 2024-04-02, ArXiv Link: https://arxiv.org/abs/2404.01945","In the paper 'Event-assisted Low-Light Video Object Segmentation', In the realm of video object segmentation VOS, the challenge of operating under low-light conditions persists, resulting in notably degraded image quality and compromised accuracy when comparing query and memory frames for similarity computation. Event cameras, characterized by their high dynamic range and ability to capture motion information of objects, offer promise in enhancing object visibility and aiding VOS methods under such low-light conditions. This paper introduces a pioneering framework tailored for low-light VOS, leveraging event camera data to elevate segmentation accuracy. Our approach hinges on two pivotal components the Adaptive Cross-Modal Fusion ACMF module, aimed at extracting pertinent features while fusing image and event modalities to mitigate noise interference, and the Event-Guided Memory Matching EGMM module, designed to rectify the issue of inaccurate matching prevalent in low-light settings. Additionally, we present the creation of a synthetic LLE-DAVIS dataset and the curation of a real-world LLE-VOS dataset, encompassing frames and events. Experimental evaluations corroborate the efficacy of our method across both datasets, affirming its effectiveness in low-light scenarios."
What is the publication date and link for the paper 'Towards Backward-Compatible Continual Learning of Image Compression'?,,The publication date is 2024-02-29 and you can find the paper here https://arxiv.org/abs/2402.18862
What are the major insights presented in the paper 'Guess The Unseen: Dynamic 3D Scene Reconstruction from Partial 2D Glimpses'?,,The publication date is 2024-04-22 and you can find the paper here http://export.arxiv.org/abs/2404.14410
What are the major insights presented in the paper 'EMAGE: Towards Unified Holistic Co-Speech Gesture Generation via Expressive Masked Audio Gesture Modeling'?,,The publication date is 2023-12-31 and you can find the paper here https://arxiv.org/abs/2401.00374
What is the main contribution of the research paper titled 'A Semi-supervised Nighttime Dehazing Baseline with Spatial-Frequency Aware and Realistic Brightness Constraint'?,,The publication date is 2024-03-27 and you can find the paper here https://arxiv.org/abs/2403.18548
What are the major insights presented in the paper 'How to Configure Good In-Context Sequence for Visual Question Answering'?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/abs/2312.01571
Can you summarize the key findings of the study 'Do You Remember? Dense Video Captioning with Cross-Modal Memory Retrieval'?,"Publication Date: 2024-04-11, ArXiv Link: https://arxiv.org/abs/2404.07610","In the paper 'Do You Remember? Dense Video Captioning with Cross-Modal Memory Retrieval', There has been significant attention to the research on dense video captioning, which aims to automatically localize and caption all events within untrimmed video. Several studies introduce methods by designing dense video captioning as a multitasking problem of event localization and event captioning to consider inter-task relations. However, addressing both tasks using only visual input is challenging due to the lack of semantic content. In this study, we address this by proposing a novel framework inspired by the cognitive information processing of humans. Our model utilizes external memory to incorporate prior knowledge. The memory retrieval method is proposed with cross-modal video-to-text matching. To effectively incorporate retrieved text features, the versatile encoder and the decoder with visual and textual cross-attention modules are designed. Comparative experiments have been conducted to show the effectiveness of the proposed method on ActivityNet Captions and YouCook2 datasets. Experimental results show promising performance of our model without extensive pretraining from a large video dataset."
What is the publication date and link for the paper 'Towards Text-guided 3D Scene Composition'?,,The publication date is 2023-12-13 and you can find the paper here https://arxiv.org/abs/2312.08885
What is the publication date and link for the paper 'Learning to Localize Objects Improves Spatial Reasoning in Visual-LLMs'?,,The publication date is 2024-04-11 and you can find the paper here https://arxiv.org/abs/2404.07449
What is the publication date and link for the paper 'Finding Lottery Tickets in Vision Models via Data-driven Spectral Foresight Pruning'?,,The publication date is 2024-05-01 and you can find the paper here https://arxiv.org/abs/2405.00906
What is the main contribution of the research paper titled 'Fully Geometric Panoramic Localization'?,,The publication date is 2024-03-29 and you can find the paper here https://arxiv.org/abs/2403.19904
Could you explain the significance of 'VS: Reconstructing Clothed 3D Human from Single Image via Vertex Shift' in simple terms?,,The publication date is 2023-09-24 and you can find the paper here https://arxiv.org/abs/2309.13524
What is the publication date and link for the paper 'Towards Real-World HDR Video Reconstruction: A Large-Scale Benchmark Dataset and A Two-Stage Alignment Network'?,,The publication date is 2024-04-30 and you can find the paper here https://arxiv.org/abs/2405.00244
Could you explain the significance of 'Language Embedded 3D Gaussians for Open-Vocabulary Scene Understanding' in simple terms?,,The publication date is 2023-11-30 and you can find the paper here https://arxiv.org/abs/2311.18482
Could you explain the significance of 'GaussianAvatars: Photorealistic Head Avatars with Rigged 3D Gaussians' in simple terms?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/abs/2312.02069
What is the publication date and link for the paper 'Garment Recovery with Shape and Deformation Priors'?,,The publication date is 2023-11-17 and you can find the paper here https://arxiv.org/abs/2311.10356
Could you explain the significance of 'The Audio-Visual Conversational Graph: From an Egocentric-Exocentric Perspective' in simple terms?,,The publication date is 2023-12-20 and you can find the paper here https://arxiv.org/abs/2312.12870
What is the publication date and link for the paper 'Dense Vision Transformer Compression with Few Samples'?,,The publication date is 2024-03-27 and you can find the paper here https://arxiv.org/abs/2403.18708
What is the main contribution of the research paper titled 'Structure-from-Motion from Pixel-wise Correspondences'?,,The publication date is 2023-06-23 and you can find the paper here http://export.arxiv.org/abs/2306.13643
What is the main contribution of the research paper titled 'KITRO: Refining Human Mesh by 2D Clues and Kinematic-tree Rotation'?,,The publication date is 2024-05-30 and you can find the paper here https://arxiv.org/abs/2405.19833
What is the publication date and link for the paper 'Orthogonal Adaptation for Modular Customization of Diffusion Models'?,,The publication date is 2023-12-05 and you can find the paper here https://arxiv.org/abs/2312.02432
What are the major insights presented in the paper 'Adaptive Multi-Modal Cross-Entropy Loss for Stereo Matching'?,,The publication date is 2023-06-27 and you can find the paper here https://arxiv.org/abs/2306.15612
What is the publication date and link for the paper 'EvalCrafter: Benchmarking and Evaluating Large Video Generation Models'?,,The publication date is 2023-10-17 and you can find the paper here https://arxiv.org/abs/2310.11440
Could you explain the significance of 'HandDiff: 3D Hand Pose Estimation with Diffusion on Image-Point Cloud' in simple terms?,,The publication date is 2024-04-04 and you can find the paper here https://arxiv.org/abs/2404.03159
How does 'Tuning Stable Rank Shrinkage: Aiming at the Overlooked Structural Risk in Fine-tuning' impact the current field of study?,"Publication Date: 2023-11-28, ArXiv Link: https://arxiv.org/abs/2312.03732","In the paper 'Tuning Stable Rank Shrinkage: Aiming at the Overlooked Structural Risk in Fine-tuning', As large language models LLMs have become increasingly compute and memory intensive, parameter-efficient fine-tuning PEFT methods are now a common strategy to fine-tune LLMs. A popular PEFT method is Low-Rank Adapters LoRA, which adds trainable low-rank adapters to selected layers. Each adapter consists of a low-rank matrix product, multiplicatively scaled by a rank-dependent factor. This scaling factor, which divides adapters by a factor of the rank, results in slowed learning and stunted performance for LoRA with higher-rank adapters. Consequently, the use of LoRA in practice has generally been limited to very low ranks. In this work, we study the impact of the scaling factor on the learning process and prove that LoRA adapters should be divided by a factor of the square root of the rank. Modifying LoRA with the appropriate scaling factor, which we call the rank-stabilized LoRA rsLoRA method, easily provides for a fine-tuning computeperformance trade-off, where larger ranks can be used to trade off increased computational resources during training for better fine-tuning performance, with no change in inference computing cost."
What is the main contribution of the research paper titled 'En3D: An Enhanced Generative Model for Sculpting 3D Humans from 2D Synthetic Data'?,,The publication date is 2024-01-02 and you can find the paper here https://arxiv.org/abs/2401.01173
What is the publication date and link for the paper 'Differentiable Point-based Inverse Rendering'?,,The publication date is 2023-12-05 and you can find the paper here https://arxiv.org/abs/2312.02480
How does 'ICP-Flow: LiDAR Scene Flow Estimation with ICP' impact the current field of study?,"Publication Date: 2024-02-27, ArXiv Link: https://arxiv.org/abs/2402.17351","In the paper 'ICP-Flow: LiDAR Scene Flow Estimation with ICP', Scene flow characterizes the 3D motion between two LiDAR scans captured by an autonomous vehicle at nearby timesteps. Prevalent methods consider scene flow as point-wise unconstrained flow vectors that can be learned by either large-scale training beforehand or time-consuming optimization at inference. However, these methods do not take into account that objects in autonomous driving often move rigidly. We incorporate this rigid-motion assumption into our design, where the goal is to associate objects over scans and then estimate the locally rigid transformations. We propose ICP-Flow, a learning-free flow estimator. The core of our design is the conventional Iterative Closest Point ICP algorithm, which aligns the objects over time and outputs the corresponding rigid transformations. Crucially, to aid ICP, we propose a histogram-based initialization that discovers the most likely translation, thus providing a good starting point for ICP. The complete scene flow is then recovered from the rigid transformations. We outperform state-of-the-art baselines, including supervised models, on the Waymo dataset and perform competitively on Argoverse-v2 and nuScenes. Further, we train a feedforward neural network, supervised by the pseudo labels from our model, and achieve top performance among all models capable of real-time inference. We validate the advantage of our model on scene flow estimation with longer temporal gaps, up to 0.4 seconds where other models fail to deliver meaningful results."
What is the publication date and link for the paper 'Rolling Shutter Correction with Intermediate Distortion Flow Estimation'?,,The publication date is 2024-04-09 and you can find the paper here https://arxiv.org/abs/2404.06350
Can you summarize the key findings of the study 'Programmable Motion Generation for Open-set Motion Control Tasks'?,"Publication Date: 2024-05-29, ArXiv Link: https://arxiv.org/abs/2405.19283","In the paper 'Programmable Motion Generation for Open-set Motion Control Tasks', Character animation in real-world scenarios necessitates a variety of constraints, such as trajectories, key-frames, interactions, etc. Existing methodologies typically treat single or a finite set of these constraints as separate control tasks. They are often specialized, and the tasks they address are rarely extendable or customizable. We categorize these as solutions to the close-set motion control problem. In response to the complexity of practical motion control, we propose and attempt to solve the open-set motion control problem. This problem is characterized by an open and fully customizable set of motion control tasks. To address this, we introduce a new paradigm, programmable motion generation. In this paradigm, any given motion control task is broken down into a combination of atomic constraints. These constraints are then programmed into an error function that quantifies the degree to which a motion sequence adheres to them. We utilize a pre-trained motion generation model and optimize its latent code to minimize the error function of the generated motion. Consequently, the generated motion not only inherits the prior of the generative model but also satisfies the required constraints. Experiments show that we can generate high-quality motions when addressing a wide range of unseen tasks. These tasks encompass motion control by motion dynamics, geometric constraints, physical laws, interactions with scenes, objects or the character own body parts, etc. All of these are achieved in a unified approach, without the need for ad-hoc paired training data collection or specialized network designs. During the programming of novel tasks, we observed the emergence of new skills beyond those of the prior model. With the assistance of large language models, we also achieved automatic programming. We hope that this work will pave the way for the motion control of general AI agents."
What are the major insights presented in the paper 'Repurposing Diffusion-Based Image Generators for Monocular Depth Estimation'?,,The publication date is 2023-12-04 and you can find the paper here https://arxiv.org/abs/2312.02145
What is the main contribution of the research paper titled 'I'M HOI: Inertia-aware Monocular Capture of 3D Human-Object Interactions'?,,The publication date is 2023-12-10 and you can find the paper here https://arxiv.org/abs/2312.08869
What is the publication date and link for the paper 'LMDrive: Closed-Loop End-to-End Driving  with Large Language Models'?,,The publication date is 2023-12-12 and you can find the paper here https://arxiv.org/abs/2312.07488
What is the publication date and link for the paper 'TUMTraf V2X Cooperative Perception Dataset'?,,The publication date is 2024-03-02 and you can find the paper here https://arxiv.org/abs/2403.01316
What is the publication date and link for the paper 'Unleashing Unlabeled Data: A Paradigm for Cross-View Geo-Localization'?,,The publication date is 2024-03-21 and you can find the paper here https://arxiv.org/abs/2403.14198v1
What is the publication date and link for the paper 'Deep Imbalanced Regression via Hierarchical Classification Adjustment'?,,The publication date is 2023-10-26 and you can find the paper here https://arxiv.org/abs/2310.17154
